x,y,z
-10.0,-10.0,1.33941016902
-10.0,-9.79797979798,1.21291814578
-10.0,-9.59595959596,0.938879785905
-10.0,-9.39393939394,1.24427785721
-10.0,-9.19191919192,1.03306031773
-10.0,-8.9898989899,0.824870856201
-10.0,-8.78787878788,1.05046249643
-10.0,-8.58585858586,0.669203176013
-10.0,-8.38383838384,0.659752553472
-10.0,-8.18181818182,0.746827599146
-10.0,-7.9797979798,0.726498294246
-10.0,-7.77777777778,0.922418264288
-10.0,-7.57575757576,0.628332676782
-10.0,-7.37373737374,0.71555669612
-10.0,-7.17171717172,0.765787527951
-10.0,-6.9696969697,0.732936434109
-10.0,-6.76767676768,0.797268727131
-10.0,-6.56565656566,0.558752340036
-10.0,-6.36363636364,0.68900677763
-10.0,-6.16161616162,0.402239073329
-10.0,-5.9595959596,0.483931051262
-10.0,-5.75757575758,0.53704120603
-10.0,-5.55555555556,0.580573561751
-10.0,-5.35353535354,0.452333514409
-10.0,-5.15151515152,0.445864590171
-10.0,-4.94949494949,0.462089544358
-10.0,-4.74747474747,0.351881234857
-10.0,-4.54545454545,0.451923026068
-10.0,-4.34343434343,0.565922642594
-10.0,-4.14141414141,0.434989268411
-10.0,-3.93939393939,0.548207455614
-10.0,-3.73737373737,0.499103809279
-10.0,-3.53535353535,0.481123406326
-10.0,-3.33333333333,0.322220297552
-10.0,-3.13131313131,0.184432597165
-10.0,-2.92929292929,0.328072176843
-10.0,-2.72727272727,0.0736698724557
-10.0,-2.52525252525,0.116636699829
-10.0,-2.32323232323,0.276832701172
-10.0,-2.12121212121,0.130086755814
-10.0,-1.91919191919,0.240825494356
-10.0,-1.71717171717,0.267432185513
-10.0,-1.51515151515,0.108061329139
-10.0,-1.31313131313,0.0138350811804
-10.0,-1.11111111111,0.251179078295
-10.0,-0.909090909091,0.0244303653216
-10.0,-0.707070707071,-0.00652708694335
-10.0,-0.505050505051,0.310672864934
-10.0,-0.30303030303,0.357248673999
-10.0,-0.10101010101,0.23538892776
-10.0,0.10101010101,0.0519307364538
-10.0,0.30303030303,0.366203070084
-10.0,0.505050505051,0.131950203001
-10.0,0.707070707071,0.186264156696
-10.0,0.909090909091,0.236325654134
-10.0,1.11111111111,0.44204381668
-10.0,1.31313131313,0.462822468585
-10.0,1.51515151515,0.0852923944784
-10.0,1.71717171717,0.102169835234
-10.0,1.91919191919,0.0915077174847
-10.0,2.12121212121,0.450609128558
-10.0,2.32323232323,0.182056279108
-10.0,2.52525252525,0.132017024974
-10.0,2.72727272727,0.373071433099
-10.0,2.92929292929,0.380238131615
-10.0,3.13131313131,0.231917535537
-10.0,3.33333333333,0.450595800537
-10.0,3.53535353535,0.358159085957
-10.0,3.73737373737,0.132923175457
-10.0,3.93939393939,0.284446079583
-10.0,4.14141414141,0.11104981398
-10.0,4.34343434343,0.356246678635
-10.0,4.54545454545,0.194720115858
-10.0,4.74747474747,0.298803884476
-10.0,4.94949494949,0.439024300422
-10.0,5.15151515152,0.182365085193
-10.0,5.35353535354,0.16152681402
-10.0,5.55555555556,0.442418453223
-10.0,5.75757575758,0.526158934308
-10.0,5.9595959596,0.504689051333
-10.0,6.16161616162,0.621306016006
-10.0,6.36363636364,0.556901441485
